HR01;HR02;Suma;Suma_Eduardo;Check
228;289;461;461;0
233;301;493;493;0
232;302;519;519;0
218;276;474;474;0
223;290;487;487;0
236;292;505;505;0
217;304;475;475;0
240;287;486;486;0
232;268;495;495;0
214;290;450;450;0
231;267;456;456;0
222;263;461;461;0
214;286;443;443;0
208;270;444;444;0
228;285;460;460;0
215;267;454;454;0
218;252;461;461;0
204;273;429;429;0
201;287;417;417;0
230;242;470;470;0
225;255;430;430;0
203;262;419;419;0
214;274;435;435;0
199;241;443;443;0
230;284;450;450;0
191;263;391;391;0
234;243;470;470;0
184;222;430;430;0
226;282;432;432;0
191;252;411;411;0
179;261;391;391;0
223;282;469;469;0
188;260;399;399;0
198;233;414;414;0
198;260;408;408;0
216;287;426;426;0
195;256;407;407;0
198;264;399;399;0
216;269;446;446;0
190;258;418;418;0
200;246;369;369;0
200;263;409;409;0
183;236;383;383;0
205;225;417;417;0
199;239;415;415;0
195;229;399;399;0
192;236;399;399;0
211;232;419;419;0
174;239;381;381;0
186;243;399;399;0
194;225;395;395;0
182;216;385;385;0
190;240;404;404;0
190;205;406;406;0
176;216;395;395;0
175;221;363;363;0
163;244;367;367;0
185;220;385;385;0
179;200;378;378;0
174;236;350;350;0
180;246;411;411;0
172;206;384;384;0
183;220;375;375;0
179;212;353;353;0
177;246;356;356;0
168;211;372;372;0
183;216;374;374;0
182;210;360;360;0
180;210;377;377;0
162;212;335;335;0
169;201;330;330;0
146;230;318;318;0
154;228;307;307;0
177;169;369;369;0
146;209;313;313;0
165;200;335;335;0
145;212;319;319;0
149;216;323;323;0
158;204;331;331;0
158;207;332;332;0
145;208;317;317;0
158;207;334;334;0
150;213;312;312;0
141;201;304;304;0
140;203;326;326;0
141;214;338;338;0
150;216;330;330;0
166;219;348;348;0
149;188;293;293;0
150;204;333;333;0
162;200;304;304;0
157;199;307;307;0
144;176;301;301;0
145;231;297;297;0
137;212;305;305;0
148;192;303;303;0
137;174;288;288;0
146;179;298;298;0
136;204;299;299;0
150;191;323;323;0
120;178;265;265;0
138;197;285;285;0
130;173;286;286;0
150;161;301;301;0
169;172;307;307;0
136;153;304;304;0
126;192;286;286;0
168;167;298;298;0
142;170;296;296;0
118;174;273;273;0
133;174;299;299;0
151;173;311;311;0
140;174;283;283;0
142;172;310;310;0
133;176;274;274;0
139;162;297;297;0
120;163;251;251;0
133;186;275;275;0
146;197;290;290;0
132;180;255;255;0
115;182;279;279;0
139;144;275;275;0
135;183;284;284;0
137;142;289;289;0
107;150;243;243;0
121;157;262;262;0
120;152;253;253;0
142;168;306;306;0
100;155;231;231;0
123;151;301;301;0
114;152;264;264;0
124;163;271;271;0
116;173;268;268;0
104;145;234;234;0
126;147;255;255;0
114;156;247;247;0
116;151;257;257;0
154;138;282;282;0
110;168;230;230;0
126;160;268;268;0
111;130;232;232;0
120;154;272;272;0
125;155;253;253;0
121;166;262;262;0
117;160;246;246;0
124;143;259;259;0
99;168;239;239;0
121;141;250;250;0
84;158;213;213;0
110;131;242;242;0
109;142;222;222;0
112;144;228;228;0
119;123;237;237;0
111;164;237;237;0
113;136;246;246;0
116;149;263;263;0
110;152;232;232;0
103;136;232;232;0
95;141;212;212;0
103;133;222;222;0
90;164;210;210;0
89;131;211;211;0
105;178;232;232;0
116;150;243;243;0
97;147;224;224;0
105;152;220;220;0
98;130;219;219;0
87;129;233;233;0
93;133;222;222;0
113;141;226;226;0
90;128;196;196;0
105;120;217;217;0
94;142;219;219;0
99;121;220;220;0
79;152;173;173;0
95;128;208;208;0
117;141;237;237;0
99;129;220;220;0
87;135;191;191;0
112;140;245;245;0
93;129;196;196;0
84;129;183;183;0
85;132;208;208;0
99;113;204;204;0
89;116;201;201;0
91;118;195;195;0
99;126;221;221;0
88;133;200;200;0
89;147;198;198;0
90;122;211;211;0
104;129;209;209;0
90;117;201;201;0
102;119;215;215;0
94;120;202;202;0
80;122;162;162;0
99;127;205;205;0
86;127;181;181;0
94;127;190;190;0
79;115;187;187;0
107;121;213;213;0
61;146;159;159;0
80;129;198;198;0
90;113;202;202;0
87;106;203;203;0
95;112;185;185;0
100;125;208;208;0
96;121;211;211;0
97;94;197;197;0
89;113;175;175;0
102;120;220;220;0
82;121;176;176;0
82;104;189;189;0
76;133;188;188;0
76;103;171;171;0
77;99;181;181;0
75;123;169;169;0
75;105;157;157;0
79;112;181;181;0
65;104;161;161;0
80;122;168;168;0
70;112;168;168;0
74;109;166;166;0
86;121;187;187;0
97;105;210;210;0
81;111;170;170;0
65;113;158;158;0
77;108;179;179;0
71;82;157;157;0
81;106;172;172;0
86;95;165;165;0
79;96;172;172;0
74;108;180;180;0
79;106;164;164;0
88;98;164;164;0
74;118;168;168;0
78;112;171;171;0
71;116;143;143;0
78;90;176;176;0
73;108;147;147;0
69;115;145;145;0
85;100;178;178;0
81;86;176;176;0
77;118;162;162;0
77;94;167;167;0
70;107;153;153;0
69;112;155;155;0
70;95;140;140;0
61;104;135;135;0
75;94;156;156;0
67;82;129;129;0
72;102;158;158;0
80;96;170;170;0
71;88;152;152;0
57;98;144;144;0
68;92;164;164;0
70;101;145;145;0
86;113;172;172;0
70;89;146;146;0
65;93;156;156;0
55;102;150;150;0
67;86;137;137;0
66;91;150;150;0
68;79;153;153;0
74;93;152;152;0
49;106;133;133;0
77;85;161;161;0
64;76;145;145;0
76;94;155;155;0
59;93;137;137;0
62;72;144;144;0
68;98;142;142;0
67;74;151;151;0
55;76;133;133;0
50;93;124;124;0
70;95;149;149;0
62;85;150;150;0
57;90;126;126;0
63;83;137;137;0
47;86;118;118;0
64;70;132;132;0
75;74;149;149;0
64;81;130;130;0
69;62;135;135;0
71;86;139;139;0
54;90;125;125;0
67;81;135;135;0
60;87;144;144;0
66;96;142;142;0
46;75;127;127;0
57;86;130;130;0
49;76;132;132;0
56;91;131;131;0
52;95;123;123;0
53;70;130;130;0
48;84;134;134;0
57;85;133;133;0
47;78;119;119;0
